audio no,person no,speaker 1,speaker 2,question,answer
,,"No problem. Thank you very much. Have a good day. Thank you,",The same Sir.Thank you. ,,
7,7,Yeah.So tell me. How is a convolution neural network different from a Regular fully connected neural network. ,"Sir, it depends on the differences. It is between the architecture, Sir, in convolution neural networks there will be different layers. And the other neural networks will have connected layers. Each network is connect. Each layer is connected to all the different layers. ",How is a convolution neural network different from a Regular fully connected neural network. ,"Sir, it depends on the differences. It is between the architecture, Sir, in convolution neural networks there will be different layers. And the other neural networks will have connected layers. Each network is connect. Each layer is connected to all the different layers. "
,,OK. ,"In CNN, we'll be adding only some of the layers conversation neural network. We'll be adding only some base layers. And in the output layer will be adding software softmax activation function. ",,"In CNN, we'll be adding only some of the layers conversation neural network. We'll be adding only some base layers. And in the output layer will be adding software softmax activation function. "
,,OK. ,"Yes, Sir. ",,
,,So that is all the difference between conversation and the fully connected networks. ,"So in fully connected layer we can define like each layer is connected to all the different layers. So in computation it takes time whereas it is best for accuracy because each and every layer is connected to each and every layer. Its computation cost will be more. Computation time will be, whereas in CNN layer CNN layers will be less so it CNN. It is easy to perform analysis Sir. ",So that is all the difference between conversation and the fully connected networks. ,"So in fully connected layer we can define like each layer is connected to all the different layers. So in computation it takes time whereas it is best for accuracy because each and every layer is connected to each and every layer. Its computation cost will be more. Computation time will be, whereas in CNN layer CNN layers will be less so it CNN. It is easy to perform analysis Sir. "
,,OK.So the computational complexity of a CNN network. CNN versus a fully connected network which has a higher computational complexity. ,"Fully connected only, Sir, because after each in each layer it has to perform processing from that layer only it is going to pass through the other layer because it is connected to each and every layer. The computational cost will be more. ",So the computational complexity of a CNN network. CNN versus a fully connected network which has a higher computational complexity. ,"Fully connected only, Sir, because after each in each layer it has to perform processing from that layer only it is going to pass through the other layer because it is connected to each and every layer. The computational cost will be more. "
,,"OK. Yeah, interesting. That is a very interesting thinking. OK, very good. What is the advantage of CNN? ","Advantage of CNN is that it gives faster results. No Sir. Like it, it doesn't take more time for processing of epochs. Since it is not connected to all the layers for the processing, it takes less time, Sir. ",What is the advantage of CNN? ,"Advantage of CNN is that it gives faster results. No Sir. Like it, it doesn't take more time for processing of epochs. Since it is not connected to all the layers for the processing, it takes less time, Sir. "
,,"For processing, it takes less time?","Yes, Sir. ","For processing, it takes less time?","Yes, Sir. "
,,"OK, what is the disadvantage of CNN? ","Disadvantage of CNN is that. The accurate accuracies may be somewhat low using CNN, Sir. We will, in deep neural in in neural in. ", what is the disadvantage of CNN? ,
,,That even then. ,"Sir, in deep neural networks. ",,"Sir, in deep neural networks. "
,,"Mohit please. When I'll ask you, you answer, OK. Yeah, go ahead. ",OK. ,,
,,,"Sir, since in convolution neural networks there are not much layers, you cannot get more accurate results Sir. ",,"Sir, since in convolution neural networks there are not much layers, you cannot get more accurate results Sir. "
,,So what is the? What is the purpose? Of pulling function. ,Sir. ,So what is the? What is the purpose? Of pulling function. ,
,,"We use pulling in CNN, right? ","Yes, Sir. ","We use pulling in CNN, right? ","Yes, Sir. "
,,What is the purpose of having pulling functions? ,Like you are asking for activation function Sir. ,What is the purpose of having pulling functions? ,Like you are asking for activation function Sir. 
,,"No, I'm talking about pulling pulling layer is there in CNN. ","Yes, Sir. Yes, Sir. Pooling layers. Yes, Sir. In pooling we have maximum and average pooling. That pulling only. ","No, I'm talking about pulling pulling layer is there in CNN. "," Pooling layers. Yes, Sir. In pooling we have maximum and average pooling. That pulling only. "
,,Correct. Why? Why do we have pulling layers? ,"Sir, it is used to to like reduce the dimensions Sir. We will be having different inputs. No Sir. So to reduce the dimensions, we of input features, we use pooling layers Sir in that we have maximum pooling and average pooling. ",Why do we have pulling layers? ,"Sir, it is used to to like reduce the dimensions Sir. We will be having different inputs. No Sir. So to reduce the dimensions, we of input features, we use pooling layers Sir in that we have maximum pooling and average pooling. "
,,OK. ,"Of the input features in average pooling, it is going to take the average value of the features",,"Of the input features in average pooling, it is going to take the average value of the features"
,,"OK Very good. Thank you. We'll move on to. Wait. You can put yourself on the line. Mohit. Hello. Mohit, are you there? ","Sir, I'm there",,
,,"Tell me, what is a bag of words? ","A bag of water. Something like. It is a model, Sir, which is used in NLP like we will be retrieving the information from that Sir. Like. How it will be working as first it will be tokenized from that it will be vectorizing Sir. Then there will be representing in the bag of word representation form. ",what is a bag of words? ,"A bag of water. Something like. It is a model, Sir, which is used in NLP like we will be retrieving the information from that Sir. Like. How it will be working as first it will be tokenized from that it will be vectorizing Sir. Then there will be representing in the bag of word representation form. "
,,"Yeah, but what is a bag of words? ",So it is like in simple or if you have to say like it is a like it is a model which is used to retrieve information in NLP. OK. ,"Yeah, but what is a bag of words? ",So it is like in simple or if you have to say like it is a like it is a model which is used to retrieve information in NLP. OK. 
,,What are stop words? ,Stop words. Is it like the few stop words like the under this in like these are the common words when we try to filter out during the NLP processor. ,What are stop words? ,Stop words. Is it like the few stop words like the under this in like these are the common words when we try to filter out during the NLP processor. 
,,OK. ,"Like they don't carry a significant meaning, Sir. Like I think like ignoring those words and we'll be continuing the. Process. Sir. ",,"Like they don't carry a significant meaning, Sir. Like I think like ignoring those words and we'll be continuing the. Process. Sir. "
,,So this list of stop words is that a fixed list or it keeps changing? From domain to domain. ,So it's a fixed Sir. ,So this list of stop words is that a fixed list or it keeps changing? From domain to domain. ,So it's a fixed Sir. 
,,It is a fixed list?,"Yes, Sir. ",It is a fixed list?,"Yes, Sir. "
,,OK.What are the different? Regularization functions you know for deep network training. ,Sorry Sir  ,OK.What are the different? Regularization functions you know for deep network training. ,
,,Regularization functions. ,"Sorry, Sir, your voice is breaking. ",Regularization functions. ,
,,Which are used. My voice is not breaking. Maybe you have another problem. Please listen to me. ,Oh.okk sir,,
,,"Yes, Sir. What are the different regularization techniques? Which are used for deep network training. ","Like regularization technique like L1 like few regularization type like L1 regularization, L2 regularization. And. Like L1 regularization. What it will be doing is.Uh.Like it will sum up the coefficient and it will equate to 0 Sir, whereas in L2 regularization it will square the magnitude of the coefficient and it will equate to the zero like it will. Sorry it will square and some of the coefficients. ",What are the different regularization techniques? Which are used for deep network training. ,"Like regularization technique like L1 like few regularization type like L1 regularization, L2 regularization. And. Like L1 regularization. What it will be doing is.Uh.Like it will sum up the coefficient and it will equate to 0 Sir, whereas in L2 regularization it will square the magnitude of the coefficient and it will equate to the zero like it will. Sorry it will square and some of the coefficients. "
,,OK. Very good. What is bagging? ,"They're bagging is like uh, bootstrap aggregating like. So it is a popular like machine learning techniques Sir. My car. In say I'm sorry so that I'm not sure about it. ",What is bagging? ,"They're bagging is like uh, bootstrap aggregating like. So it is a popular like machine learning techniques Sir. My car. In say I'm sorry so that I'm not sure about it. "
,,OK. What is universal approximation theorem? ,"Well, I am not sure about that Sir. ",What is universal approximation theorem? ,"Well, I am not sure about that Sir. "
,,Thing.Have you studied the different optimizers in CNN? Hello. ,"Sir, could you hear me now? Hello. ",Have you studied the different optimizers in CNN?,
,,"Yes, I can hear you. ",I I had a network issue. Can you come into? ,,
,,"Yeah, my question is, have you studied different optimizers used in network training? ","Like stochastic. Gradient estimator. Like root mean square property, OK. ", have you studied different optimizers used in network training? ,"Like stochastic. Gradient estimator. Like root mean square property, OK. "
,,So what is the difference between gradient descent algorithm and stochastic gradient descent algorithm? ,"The stochastic is. Like it updates the weight in the direction that reduce the loss function, Sir. ",So what is the difference between gradient descent algorithm and stochastic gradient descent algorithm? ,"The stochastic is. Like it updates the weight in the direction that reduce the loss function, Sir. "
,,MHMM. ,Like gradient descent is. Updated based on the average gradient of the loss function. ,,Like gradient descent is. Updated based on the average gradient of the loss function. 
,,"Average gradient of the loss function. OK, thank you very much. Goodnight. ","Thank you, Sir. Goodnight. ",,
,,You can drop off. ,,,
8,8,"Yeah, I'm see. So. What is the rank of a matrix? ",what sir..,What is the rank of a matrix? ,
,,What is rank of a matrix? ,"Sir, like the number of independent columns are there in. The matrix, Sir. ",What is rank of a matrix? ,"Sir, like the number of independent columns are there in. The matrix, Sir. "
,,What is the rank of an identity matrix? ,"It is one, Sir. ",What is the rank of an identity matrix? ,"It is one, Sir. "
,,The rank of an identity matrix is one. ,"Yes, Sir. Sorry two sorry 22. ",The rank of an identity matrix is one. ,"Yes, Sir. Sorry two sorry 22. "
,,Why 2?,"Sir, like the two columns are independent on each other, Sir. Like if we take a 2 cross two metrics it is a first column will be A10 and 2nd column will be 01. So both are independent. ",Why 2?,"Sir, like the two columns are independent on each other, Sir. Like if we take a 2 cross two metrics it is a first column will be A10 and 2nd column will be 01. So both are independent. "
,,What if I take a 10 by 10 matrix? ,10 by 10 matrix. Also it will become tensor. Then the rank will be 10. ,What if I take a 10 by 10 matrix? ,10 by 10 matrix. Also it will become tensor. Then the rank will be 10. 
,,"Yeah. Suppose you have. A square matrix. And the rank is less. Than the number of columns. What will be the determinant of this matrix? Less than 0 equal to 0, greater than 0. ",Will be positive. It will be greater than 0 so. ,"Yeah. Suppose you have. A square matrix. And the rank is less. Than the number of columns. What will be the determinant of this matrix? Less than 0 equal to 0, greater than 0. ",Will be positive. It will be greater than 0 so. 
,,very good..What are basis vectors?,Such like the number of bases with us means the independent select the column bases or the normalized form of the column vectors. ,What are basis vectors?,Such like the number of bases with us means the independent select the column bases or the normalized form of the column vectors. 
,,"For a vector space of dimension, let's say N. N dimensional vector space. ","OK, OK. Sir","For a vector space of dimension, let's say N. N dimensional vector space. ",
,,how many?Basis vectors are required to span the space,N vectors sir..,how many?Basis vectors are required to span the space,N vectors sir..
,,N vectors are required?,"Yes, Sir. ",N vectors are required?,"Yes, Sir. "
,,Suppose we have more than N vectors. What will happen? ,Sorry Sir. ,Suppose we have more than N vectors. What will happen? ,
,,If we have more than North vectors. What will happen? ,Then we can't build a easy space. ,If we have more than North vectors. What will happen? ,Then we can't build a easy space. 
,,Why? ,So like if the space is more than the basis vectors then it will not be completed now. So like the basis vectors will be less it can't be accommodated in the. Basic space. ,Why? ,So like if the space is more than the basis vectors then it will not be completed now. So like the basis vectors will be less it can't be accommodated in the. Basic space. 
,,"Yes, but suppose the number of basis vectors is more than the dimensionality what we have. ",Then the IT will take the size of the basis in space. The size will be considered. To how many vectors can be accepted? It will take that. ,"Yes, but suppose the number of basis vectors is more than the dimensionality what we have. ",Then the IT will take the size of the basis in space. The size will be considered. To how many vectors can be accepted? It will take that. 
,,What do you know of foriour transform? ,"That like it will convert a time domain to the frequency domain, so it's not a signal. ",What do you know of foriour transform? ,"That like it will convert a time domain to the frequency domain, so it's not a signal. "
,,OK. Anything else? ,Yeah. And also it will be easier to. It analyzes the signal in a frequency domains. ,OK. Anything else? ,Yeah. And also it will be easier to. It analyzes the signal in a frequency domains. 
,,This is you have to analyze the signaling frequency domain. ,Frequency domain. ,This is you have to analyze the signaling frequency domain. ,Frequency domain. 
,,Why? Why do you say that? What becomes IVF? ,Sir like... Analyzing the signals. ,Why? Why do you say that? What becomes IVF? ,Sir like... Analyzing the signals. 
,,Yeah. ,Will be getting accurate. Sir. Like we will be getting an accurate plot of the signal when it is in a we can see. Domains. I'm back to the time domain. ,,Will be getting accurate. Sir. Like we will be getting an accurate plot of the signal when it is in a we can see. Domains. I'm back to the time domain. 
,,OK. What is drawback of Fourier transfer? Hello. ,I said. The time frequency resolution will be limited. ,What is drawback of Fourier transfer?,I said. The time frequency resolution will be limited. 
,,What does that mean? ,"Uh, like the in time domain, it will be very limited, so like we. Can plot the. Signal up to a limited range only. ",What does that mean? ,"Uh, like the in time domain, it will be very limited, so like we. Can plot the. Signal up to a limited range only. "
,,"OK, how does it affect us? ","So, like we don't get the exact plot of the signal, Sir. Like we may miss some parts of the signal. ","OK, how does it affect us? ","So, like we don't get the exact plot of the signal, Sir. Like we may miss some parts of the signal. "
,,In time domain?,yes sir,In time domain?,
,,"Very well, thank you. We will move to sri harshini","OK.Yes, Sir. Thank you. ",,
,,Sri harshini.. what is time frequency localization problem? ,Where it can't take it can't take frequency and time domain simultaneously.,what is time frequency localization problem? ,Where it can't take it can't take frequency and time domain simultaneously.
,,It cannot take?,Frequency and time domain simultaneously. It is. ,It cannot take?,Frequency and time domain simultaneously. It is. 
,,So can you? Can you explain that I'm not able to understand what you are saying. ,It can't simultaneously get the give both time and frequency. I I I don't get,So can you? Can you explain that I'm not able to understand what you are saying. ,It can't simultaneously get the give both time and frequency. I I I don't get
,,OK. So is that is that something important? And. How and why? ,It is important when we do acepstrum  analysis. These are applications of cepstrum analysis. ,So is that is that something important? And. How and why? ,It is important when we do acepstrum  analysis. These are applications of cepstrum analysis. 
,,Interesting. What is that from? ,"The cepstrum  is. That one is done. It is spectrum. Spectrum. It is basically spectrum. It is all the spectrum. After analyzing the signal, it gives it from. I mean after analyzing spectrum it does it. ",Interesting. What is that from? ,"The cepstrum  is. That one is done. It is spectrum. Spectrum. It is basically spectrum. It is all the spectrum. After analyzing the signal, it gives it from. I mean after analyzing spectrum it does it. "
,,After analyzing the spectrum it gives such thought. ,Yes. ,After analyzing the spectrum it gives such thought. ,Yes. 
,,"So what should we you know, what do we prefer to deal with? Is it spectrum or cepstrum ","OK. We deal with cepstrum , Sir. ","So what should we you know, what do we prefer to deal with? Is it spectrum or cepstrum ","OK. We deal with cepstrum , Sir. "
,,And why is that? What's wrong with Spectrum? ,"Spectrum is not like nothing wrong with spectrum, but spectrum is an analyzed signal of spectrum where we. We have proper noise there, sorry. Where we have proper values ",And why is that? What's wrong with Spectrum? ,"Spectrum is not like nothing wrong with spectrum, but spectrum is an analyzed signal of spectrum where we. We have proper noise there, sorry. Where we have proper values "
,,I suppose you. You have to design a system. Which has to remove noise from incoming speech signal. ,"Yes, Sir. ",I suppose you. You have to design a system. Which has to remove noise from incoming speech signal. ,
,,So what would you do? How would you approach this problem? ,"We can use an FCC, but it's. Where we can have filter bank. Which can filter the signal. If you design something we, if we want to remove the noises, we can. ",So what would you do? How would you approach this problem? ,"We can use an FCC, but it's. Where we can have filter bank. Which can filter the signal. If you design something we, if we want to remove the noises, we can. "
,,OK. So you will generate the cepstrum MFCC coefficients. You will look at it and then you will be able to remove the noise from the space. Is it? ,Yes Sir. Using DF in in MFCC only using DfT using filter bank. ,OK. So you will generate the cepstrum MFCC coefficients. You will look at it and then you will be able to remove the noise from the space. Is it? ,Yes Sir. Using DF in in MFCC only using DfT using filter bank. 
,,delta band?,yes sir,delta band?,yes sir
,,what is delta band?,Filter bank. ,what is delta band?,Filter bank. 
,,Filter bank?,"Yes, Sir. ",Filter bank?,"Yes, Sir. "
,,Makes sense? Thank you very much. ,"Thank you, Sir. Are we supposed to leave? ",,
9,9,"So between speech processing, deep learning, that is DNS, IP and NLP. Who is subjective like most? ",NLP sir,"So between speech processing, deep learning, that is DNS, IP and NLP. Who is subjective like most? ",NLP sir
,,And it will be very good. What are the things you have studied in NLP? ,How about we studied about the text? And what how Google will give the auto correct and auto suggestions? Of the auto auto suggestion of the things we type. Like for example. ,What are the things you have studied in NLP? ,How about we studied about the text? And what how Google will give the auto correct and auto suggestions? Of the auto auto suggestion of the things we type. Like for example. 
,,OK. ,"If you type anything, you are automatically. Suggestion please. ",,"If you type anything, you are automatically. Suggestion please. "
,,OK. So in speech processing we have something called as. Stop word's right. ,Sir,OK. So in speech processing we have something called as. Stop word's right. ,
,,Stop words. What are stop words? ,stop words? ,Stop words. What are stop words? ,
,,yes,No idea sir..,,No idea sir..
,,OK. You have heard of something called TFIDF. ,OK. ,OK. You have heard of something called TFIDF. ,
,,OK. So what does TF and what does IDF stand for? ,Here TF is term frequency. And IDF is nearst document frequency. ,OK. So what does TF and what does IDF stand for? ,Here TF is term frequency. And IDF is nearst document frequency. 
,,Very good. What do they mean? ,Sorry Sir. ,What do they mean? ,
,,What does it? Mean what is TF and what is IDF? ,"So basically, F measures how frequently the term will appear in a document. And in idea it measures how important entire document collection. ",What does it? Mean what is TF and what is IDF? ,"So basically, F measures how frequently the term will appear in a document. And in idea it measures how important entire document collection. "
,,OK. ,So basically it's used for extract important features one. Speech translator. ,,So basically it's used for extract important features one. Speech translator. 
,,"OK. So you have also studied. What is bag of words, right? ",Yes sir," So you have also studied. What is bag of words, right? ",
,,What is bag of words? Explain it. ,So. It's it's using NLP sir bag of words. ,What is bag of words? Explain it. ,So. It's it's using NLP sir bag of words
,,"Yes. What is? Yes, what is bag of words? ","Yeah.He said he gave a. Long information in text data. OK, will receive the information. So basically there are some. ",what is bag of words? ,"Yeah.He said he gave a. Long information in text data. OK, will receive the information. So basically there are some. "
,,OK. ,And this is a. Very it is a simple and effective way to represent the text data. Like classification.. ,,And this is a. Very it is a simple and effective way to represent the text data. Like classification.. 
,,"OK, very good. So now. You know what is 1 hot encoding? ",one hot encoding sir?,You know what is 1 hot encoding? ,
,,yes sir..,Actually I don't have much. Idea about that? ,,Actually I don't have much. Idea about that? 
,,"You don't have much idea, OK? See in deep learning we have different regularization techniques. Have you heard of them? Have you studied them? ",,See in deep learning we have different regularization techniques. Have you heard of them? Have you studied them? ,
10,10,Are you comfortable with probability or linear algebra? ,probability.,Are you comfortable with probability or linear algebra? ,probability.
,,"Probability. Very good. So what do you what becomes? You know, what is conditional probability? ","Yes, Sir. Conditional probability. ","So what do you what becomes? You know, what is conditional probability? ","Yes, Sir. Conditional probability. "
,,Can you give an example of conditional probability? ,"Sir, when an event is given and we're trying to calculate the next occurrence of the next event given that one event has already occurred, that is conditional probability. ",Can you give an example of conditional probability? ,"Sir, when an event is given and we're trying to calculate the next occurrence of the next event given that one event has already occurred, that is conditional probability. "
,,"ok, so now suppose these two events are independent. Of each other. ","Yes, Sir. ","ok, so now suppose these two events are independent. Of each other. ","Yes, Sir. "
,,So what would be the conditional probability of the 2nd event given that the 1st event has already happened? ,So then it will be 0. ,So what would be the conditional probability of the 2nd event given that the 1st event has already happened? ,So then it will be 0. 
,,You mean the 2nd event will not happen at all? ,So the probability of the first event occurring after second event will be zero because they're. ,You mean the 2nd event will not happen at all? ,So the probability of the first event occurring after second event will be zero because they're. 
,,I'm saying event that the 1st event has already happened or occurred. What would be the probability of the 2nd event occurring? ,Then it will be zero..,I'm saying event that the 1st event has already happened or occurred. What would be the probability of the 2nd event occurring? ,Then it will be zero..
,,So you mean to say that the 2nd? Event will not occur. ,Yes.,So you mean to say that the 2nd? Event will not occur. ,Yes.
,,"OK, fine. So. You have studied about these hidden Markov models, right? ",Yes.," You have studied about these hidden Markov models, right? ",Yes.
,,"OK, what is a Markov chain?","Markov saying basically is when we have a sequence of events. When we try to compute the probability of the sequences, we use Markov chain. So one event depends the probability of the occurrence of one event depends only on the previous. Event. And not all the events, it's just the immediate. Previous event so that is Markov. ",what is a Markov chain?,"Markov saying basically is when we have a sequence of events. When we try to compute the probability of the sequences, we use Markov chain. So one event depends the probability of the occurrence of one event depends only on the previous. Event. And not all the events, it's just the immediate. Previous event so that is Markov. "
,,Is that first order Markov chain or that is all about Markov chain? ,So this is first order Markov chain. Like what I. ,Is that first order Markov chain or that is all about Markov chain? ,So this is first order Markov chain. Like what I. 
,,Why are you explaining about to be as markov chain?,"Like first order, Markov chain is where it depends on your the immediate previous state and Markov chains like N number of previous. ",Why are you explaining about to be as markov chain?,"Like first order, Markov chain is where it depends on your the immediate previous state and Markov chains like N number of previous. "
,,Correct. Very good. OK so. Can you explain what is the Fourier transfer? ,It's a Fourier transform. Is like an operation like kind of an operation that helps us convert. Signals from like. The time domain to the frequency domain. ,Can you explain what is the Fourier transfer? ,It's a Fourier transform. Is like an operation like kind of an operation that helps us convert. Signals from like. The time domain to the frequency domain. 
,,And why do we do it?,"So because in time domain, what we can analyze from the signals is only loudness, but converting it to a frequency domain or like converting it to a spectrum helps us analyze better when it comes. To signals. ",And why do we do it?,"So because in time domain, what we can analyze from the signals is only loudness, but converting it to a frequency domain or like converting it to a spectrum helps us analyze better when it comes. To signals. "
,,And why do you say it helps us analyze better? ,"So because when we have a spectrum, a spectrum is basically frequency over. I mean there are frequency components in the spectrum. It's it's basically in the frequency domain, so. We we can get different other values like parameters that can help us analyze not only loudness. ",And why do you say it helps us analyze better? ,"So because when we have a spectrum, a spectrum is basically frequency over. I mean there are frequency components in the spectrum. It's it's basically in the frequency domain, so. We we can get different other values like parameters that can help us analyze not only loudness. "
,,"Mm-hmm. Very good. With respect to speech, you explained what is the limitation of Fourier transform. ",Fourier transform. So basically I would say that it's like a very specific thing like when we have Laplace transform that can convert time domain to any other. Domain like it's. It can only convert a frequency domain I think. ," With respect to speech, you explained what is the limitation of Fourier transform. ",Fourier transform. So basically I would say that it's like a very specific thing like when we have Laplace transform that can convert time domain to any other. Domain like it's. It can only convert a frequency domain I think. 
,,"That's the problem. OK, what is the difference between short time Fourier transform and Fourier transform? ","It's a short time Fourier transform is what we apply on very small frames and in short time Fourier transform. The assumption is that the components are stationary because we we take very small time slots, so it's assumed that the components are stationary at a given particular time. That this is short time for transform, but Fourier transform is applied on the complete signal. ","That's the problem. OK, what is the difference between short time Fourier transform and Fourier transform? ","It's a short time Fourier transform is what we apply on very small frames and in short time Fourier transform. The assumption is that the components are stationary because we we take very small time slots, so it's assumed that the components are stationary at a given particular time. That this is short time for transform, but Fourier transform is applied on the complete signal. "
,,Which one is computationally more efficient? ,"A short time Fourier transform is more efficient. No. So computationally I think Fourier transform because there's no breaking down of segments and all. It's just directly applying. On the full signal, that's why. ",Which one is computationally more efficient? ,"A short time Fourier transform is more efficient. No. So computationally I think Fourier transform because there's no breaking down of segments and all. It's just directly applying. On the full signal, that's why. "
,,So when we do Fourier transform. ,Yes.,So when we do Fourier transform. ,Yes.
,,We get the entire spectrum?,Yes.,We get the entire spectrum?,Yes.
,,It is computationally efficient. So why should we even do something for your transfer? ,"So when we analyze the full signal at once and like when we talk about speech, it's like a container signal. It's very hard to like apply for like we consider it to be an infinite it of infinite length, so it's very hard for us to apply like Fourier transform to the full sequence. That's why we divide it into. Frames. And analyze and that to survive is the speech signal is not stationary, it keeps changing. So it's very hard to apply Fourier transform directly",It is computationally efficient. So why should we even do something for your transfer? ,"So when we analyze the full signal at once and like when we talk about speech, it's like a container signal. It's very hard to like apply for like we consider it to be an infinite it of infinite length, so it's very hard for us to apply like Fourier transform to the full sequence. That's why we divide it into. Frames. And analyze and that to survive is the speech signal is not stationary, it keeps changing. So it's very hard to apply Fourier transform directly"
,,OK. So would you say that we apply short time Fourier transform because the signal at hand is not stationary in time? ,That is like one of the reason also because it's we we considered to be infinitely long. So it's very hard to apply Fourier transform on the whole signal at once and it it's hard to analyze. Also when you have such large amount of data and like all at once. ,OK. So would you say that we apply short time Fourier transform because the signal at hand is not stationary in time? ,That is like one of the reason also because it's we we considered to be infinitely long. So it's very hard to apply Fourier transform on the whole signal at once and it it's hard to analyze. Also when you have such large amount of data and like all at once. 
,,"Very good. OK, so. You know what are the building blocks of a neural network? ","Yes, and neurons. But yeah, neurons. ",You know what are the building blocks of a neural network? ,"Yes, and neurons. But yeah, neurons. "
,,So why do? We build a network. Can't the neuron do the same thing as the network does? ,"Sir, the neuron, like one neuron alone, cannot do because like one neuron has inputs and it gives us. An output but. Many, Sir, if we talk about like a simple function like XOR itself, a single neuron cannot perform. So when we have like when we talk about real world scenarios the. Tasks at hand are very huge, so one neuron alone cannot. But when we use a combination of neurons like a network, then we can. Apply them for. ",So why do? We build a network. Can't the neuron do the same thing as the network does? ,"Sir, the neuron, like one neuron alone, cannot do because like one neuron has inputs and it gives us. An output but. Many, Sir, if we talk about like a simple function like XOR itself, a single neuron cannot perform. So when we have like when we talk about real world scenarios the. Tasks at hand are very huge, so one neuron alone cannot. But when we use a combination of neurons like a network, then we can. Apply them for. "
,,"OK. Very good. Now, would you be able to probably put down or specify? What are the different limitations of a neuron which is overcome by using a network? Can you put one or two points? ","So. Yes, Sir, neuron. So one thing is only very simple functions. Very extremely simple functions can be performed by a neuron, but network can perform like huge tasks like classification itself. And a neuron? Maybe a neuron works only for like a single linear boundary. But when we use a combination of neurons, which is like a network, we can create very complex boundaries. Like curves also. ","Now, would you be able to probably put down or specify? What are the different limitations of a neuron which is overcome by using a network? Can you put one or two points? ","So. Yes, Sir, neuron. So one thing is only very simple functions. Very extremely simple functions can be performed by a neuron, but network can perform like huge tasks like classification itself. And a neuron? Maybe a neuron works only for like a single linear boundary. But when we use a combination of neurons, which is like a network, we can create very complex boundaries. Like curves also. "
,,Very good. Thank you very much there. Hi pranav. ,"Good afternoon, Sir.",,
,,"Hey, good evening. How are you? ","I'm fine, Sir. How are you?",,
,,Your voice is little low or.,"Can you hear me now? Yes, Sir. ",,
,,How do you find out if two vectors are independent of each other or not? ,"So. If you want to find out two vectors are independent or not, we will take a dot product of that and if the dot product is zero, we say. Two vectors are independent. ",How do you find out if two vectors are independent of each other or not? ,"So. If you want to find out two vectors are independent or not, we will take a dot product of that and if the dot product is zero, we say. Two vectors are independent. "
,,So you are. Saying if the dot product is 0. Then the two vectors are independent. ,"Yes, Sir.",if the dot product is 0. Then the two vectors are independent. ,"Yes, Sir."
,,"So what if the dot product is .0.2 but something like point? Two, what would you call those two vector sets? ",Uh. Not sure Sir.,"So what if the dot product is .0.2 but something like point? Two, what would you call those two vector sets? ",Uh. Not sure Sir.
,,"Very good, no problem. OK. So do we really need the vectors to be independent for different classification tasks? ","Sir, if in the in the context of speaking classification, I guess if the vectors are aligned aligned at 90° which which we consider as independent, then I would say yes Sir. Yes, if the for the classifications the vectors needs to be independent. ",So do we really need the vectors to be independent for different classification tasks? ,"Sir, if in the in the context of speaking classification, I guess if the vectors are aligned aligned at 90° which which we consider as independent, then I would say yes Sir. Yes, if the for the classifications the vectors needs to be independent. "
,,And that. Very good. You know what is principal component analysis? ,"As far as I know it's it is. It is widely used in machine learning algorithms to optimize it. I I'm not, I don't have any insight informations about it. ",You know what is principal component analysis? ,"As far as I know it's it is. It is widely used in machine learning algorithms to optimize it. I I'm not, I don't have any insight informations about it. "
,,"OK, you have studied support vector machines, right? ","Yes, Sir.","OK, you have studied support vector machines, right? ","Yes, Sir."
,,Can you tell me? Where do you? Use support optimizations and what are the different assumptions behind? When we use. Support vector machine for a given scenario. ,"Support vector machines we would use when we have a proper labeled data set where the features are labeled to some classes and in the assumption coming to the assumptions part. I guess. We consider the. Really not sure about that assumption, but Sir. ",Where do you? Use support optimizations and what are the different assumptions behind? When we use. Support vector machine for a given scenario. ,"Support vector machines we would use when we have a proper labeled data set where the features are labeled to some classes and in the assumption coming to the assumptions part. I guess. We consider the. Really not sure about that assumption, but Sir. "
,,"No problem. Suppose I ask you to write one sentence splitting algorithm. OK, OK. OK. So and there is a block of text which contains multiple sentences. You are supposed to write one sentence splitting algorithm. ",Sure.,"Suppose I ask you to write one sentence splitting algorithm. OK, OK. OK. So and there is a block of text which contains multiple sentences. You are supposed to write one sentence splitting algorithm. ",
,,How would you? What would be your logic? To do a sentence lacking. ,"My logic is that whenever we have a slash in or A/T which I consider as white space or a tab, I would say or or even a dot or even a dot I would I would based upon those posed upon those parameters, I would split the sentences. ",How would you? What would be your logic? To do a sentence lacking. ,"My logic is that whenever we have a slash in or A/T which I consider as white space or a tab, I would say or or even a dot or even a dot I would I would based upon those posed upon those parameters, I would split the sentences. "
,,OK. And can you tell me? One or two example situations where this algorithm may fail. ,"This might fail if we have some something like Doctor dot Peta Basa pati where Doctor is where dot is, where where whatever I told is is the whole name and it is. It is your designation. But this fails because it will consider. Not as a dot as the end of a sentence, and it will fit your. ",One or two example situations where this algorithm may fail. ,"This might fail if we have some something like Doctor dot Peta Basa pati where Doctor is where dot is, where where whatever I told is is the whole name and it is. It is your designation. But this fails because it will consider. Not as a dot as the end of a sentence, and it will fit your. "
